0,Sand,Tx_sand_01.tga,0009da24,TerrainWetSand04,TerrainWetSand04.dds
1,Rock_Coastal,Tx_coastal_rock_01.tga,000ba1b1,CHTerrainCliff01,CHTerrainCliff01.dds
2,Road Dirt,Tx_dirtroad_01.tga,0009c71c,CHTerrainDirt01,CHTerrainDirt01.dds
3,RM_rock_01,Tx_RM_rock_01.tga,0009c510,JMRock2,JMRock02.dds
4,RM_rock_02,Tx_RM_rock_02.tga,00015711,TerrainHDOblivionCooledLava,Oblivion\TerrainHDOblivionCooledLava.dds
5,AI_Grass_Cobbles,Tx_cobblestone_01.tga,0002ae93,TerrainCobblestone03,Cobblestone03.dds
6,AI_Grass_Rocky,Tx_grass_rocky_01.tga,00150f40,TerrainWWRocksDirtMoss01SU,TerrainHDRocksDirtMoss01SU.dds
7,WG_Scrub Plain,Tx_scrubplain_01.tga,000008c0,TerrainHDDirt01dds,TerrainHDDirt01.dds
8,AC_darkstone01,Tx_land_darkstone01.tga,00037d9f,TerrainHDRock03,TerrainHDRock03.dds
9,AC_darkstone02,Tx_land_darkstone02.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
10,AC_darkgravel,Tx_land_darkgravel.tga,000349bc,JMBruStone,TerrainBruStone.dds
11,AC_darkstone_grass,Tx_land_darkstone_grass.tga,0005dcea,TerrainCPSandMossRocks,TerrainCPSandMossRocks.dds
12,AC_roundstone,Tx_land_roundstone.tga,00187c9a,RoadStoneSmall01,RoadStoneSmall01.dds
13,WG_rockyscrub,Tx_rockyscrub_01.tga,000984bc,TerrainBWMoss,TerrainBWMoss.dds
14,WG_rock,Tx_rock_WG_01.tga,00037da1,TerrainHDRock02,TerrainHDRock02.dds
15,RM_grayrock,Tx_RM_grayrock_01.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
16,RM_redrock,Tx_RM_redrock_01.tga,0009c4c5,JMRock1,JMRock01.dds
17,RM_whiterock,Tx_RM_whiterock_01.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
18,AL_ash_04,Tx_ashlands_04.tga,00015711,TerrainHDOblivionCooledLava,Oblivion\TerrainHDOblivionCooledLava.dds
19,AL_ash_03,Tx_ashlands_06.tga,00015711,TerrainHDOblivionCooledLava,Oblivion\TerrainHDOblivionCooledLava.dds
20,AL_ash_02,Tx_ashlands_07.tga,00015711,TerrainHDOblivionCooledLava,Oblivion\TerrainHDOblivionCooledLava.dds
21,AL_ash_01,Tx_ashlands_08.tga,00015711,TerrainHDOblivionCooledLava,Oblivion\TerrainHDOblivionCooledLava.dds
22,AL_road_01,Tx_ashlands_road_01.tga,00085477,BrumaCobbleStone01,BrumaCobbleStone01.dds
23,Scrub Plain,Tx_scrubplain_01.tga,000984bb,TerrainBWMossDirt,TerrainBWMossDirt.dds
24,Tx_land_darkstone01.tga,Tx_land_darkstone01.tga,0009c4c5,JMRock1,JMRock01.dds
25,Tx_land_darkstone02.tga,Tx_land_darkstone02.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
26,Tx_rockyscrub_01.tga,Tx_rockyscrub_01.tga,000984bc,TerrainBWMoss,TerrainBWMoss.dds
27,Tx_rock_WG_01.tga,Tx_rock_WG_01.tga,0001c7b6,TerrainHDRock01,TerrainHDRock01.dds
28,Tx_RM_grayrock_01.tga,Tx_RM_grayrock_01.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
29,tx_Rocky_Mt.tga,tx_Rocky_Mt.tga,00035fc6,JMRockRough01,TerrainJerallMountStone.dds
30,WG_rockydirt,Tx_WG_rockydirt_01.tga,0009c74a,CHTerrainRockyDirt01,CHTerrainRockyDirt01.dds
31,WG_dirtscrub,Tx_WG_dirtscrub_01.tga,000984bb,TerrainBWMossDirt,TerrainBWMossDirt.dds
32,AI_Grass,Tx_grass_01.tga,00115dd1,TerrainWWGrass01SU,TerrainHDGrass01SU.dds
33,WG_road,Tx_WG_road_01.tga,00115dc8,TerrainBravilBase04,TerrainBravilBase04.dds
34,WG_dirtroad_01,Tx_WG_dirtroad_01.tga,0009c71c,CHTerrainDirt01,CHTerrainDirt01.dds
35,WG_cobblestones,Tx_WG_cobblestones_01.tga,00115dc8,TerrainBravilBase04,TerrainBravilBase04.dds
36,AI_Grass_Dirt,Tx_AI_grass_dirt_01.tga,0009c71d,CHTerrainDirtGrass01,CHTerrainDirtGrass01.dds
37,Sand_02,Tx_sand_02.tga,0001b97c,AnvilSand01,TerrainAnvilSand01.dds
38,AI_Dirtroad,Tx_AI_dirtroad_01.tga,00035dc0,TerrainBravilBase01,TerrainBravilBase01.dds
39,AI_Dirt,Tx_AI_dirt_01.tga,000008c0,TerrainHDDirt01dds,TerrainHDDirt01.dds
40,AI_Clover,Tx_AI_clover_02.tga,00115dde,TerrainWWGrassClover01SU,TerrainHDGrassClover01SU.dds
41,AI_Grass_02,Tx_AI_grass_01.tga,00017843,TerrainGCgrass01,TerrainGCgrass01.dds
42,AI_Tilled_Dirt,Tx_AI_tilled_dirt_01.tga,00007bf4,TerrainTilledSoil,TerrainTilledSoil.dds
43,GL_Dirt_01,Tx_GL_dirt_01.tga,0009c71c,CHTerrainDirt01,CHTerrainDirt01.dds
44,GL_Dirt_02,Tx_GL_dirt_02.tga,0009c71c,CHTerrainDirt01,CHTerrainDirt01.dds
45,GL_Dirt_Grass_01,Tx_GL_dirt_grass_01.tga,0009c71d,CHTerrainDirtGrass01,CHTerrainDirtGrass01.dds
46,GL_Dirt_Grass_02,Tx_GL_dirt_grass_02.tga,000c853c,TerrainGCgrassDirt02,TerrainGCgrassDirt01.dds
47,GL_Dirtroad,Tx_GL_dirtroad_01.tga,00035dc2,TerrainBravilBase03,TerrainBravilBase03.dds
48,GL_Grass_01,Tx_GL_grass_01.tga,0009c719,CHTerrainGrass01,CHTerrainGrass01.dds
49,GL_Grass_02,Tx_GL_grass_02.tga,0009c719,CHTerrainGrass01,CHTerrainGrass01.dds
50,GL_Grass_03,Tx_GL_grass_07.tga,000fe8c5,TerrainNVGrass01SU,TerrainHDGrass01SU.dds
51,GL_Grass_04,Tx_GL_grass_10.tga,0009c71d,CHTerrainDirtGrass01,CHTerrainDirtGrass01.dds
